company,address,report publication year,internal manufacturing site
Chimei Innolux Corporation,"H3 Block, K2 Zone Minqingbei Road, Baoan District Shenzhen, Guangdong China",2013,TRUE
Chimei Innolux Corporation,"No. 12, Ke Jung Road Jhunan Science Park Miaoli, Taiwan",2013,TRUE
Chimei Innolux Corporation,"No. 458, Jung Shing Road, Ping Jen Taoyuan, Taiwan",2013,TRUE
Chimei Innolux Corporation,"No. 93, Fu Cheng West Road, Jingning Economic and Technological Development Zone Nanjing, Jiangsu China",2013,TRUE
"Coilcraft, Inc.","112, Jalan Sawit Baru 8, Taman Perindustrian Sawit Baru Kulai, Johor Malaysia",2013,TRUE
"Coilcraft, Inc.","5, Guang Tong Nan Road, Dong Feng West Street, Weinan Hi-Tech Zone Weinan, Shanxi China",2013,TRUE
"Coilcraft, Inc.","Aster Lot SD 37, Bintan Industrial Estate Lobam, Bintan Indonesia",2013,TRUE
"Coilcraft, Inc.","Bac Chu Lai Industrial Park, Chu Lai Open Economic Zone Tam Hiep, Nui Thanh Tam Ky City, Quang Nam Vietnam",2013,TRUE
"Coilcraft, Inc.","Blk 512 Chai Chee Lane #03-15 Bedok Industrial Estate, Singapore",2013,TRUE
"Coilcraft, Inc.","Xiyang Town, Meixian, Meizhou, Guangdong China",2013,TRUE
"Compeq Manufacturing Co., Ltd. ","No. 168, Huguang Road, Huzhen Town, Boluo County Huizhou, Guangdong China",2013,TRUE
"Compeq Manufacturing Co., Ltd. ","No. 91, Lane 814, Ta-Hsin Road, Shin Chuang Village, Lu Chu Hsiang,Taoyuan, Taiwan",2013,TRUE
Consolidated Graphics,"1245 Lakeview Drive Chaska, Minnesota USA",2013,TRUE
Consolidated Graphics,"2205 Joseph Street Medford, Oregon USA",2013,TRUE
Consolidated Graphics,"2661 South Pacific Highway, Medford, Oregon USA",2013,TRUE
Consolidated Graphics,"495-35 Hane, Hagiwara-cho,Gero-shi, Gifu Japan",2013,TRUE
Consolidated Graphics,"Business Center Chrstany, Chrstany 207 Praha zpad, Czech Republic",2013,TRUE
Coretronic Corporation,"No. 68, Qun Xing 3rd Road, Suzhou Industrial Park Suzhou, Jiangsu China",2013,TRUE
Corning Incorporated,"12117, Obuchi, Kakegawa-shi,Shizouka, Japan",2013,TRUE
Corning Incorporated,"680 E. Office Street Harrodsburg, Kentucky USA",2013,TRUE
